worker,declaration,answer
A2QN0EGBRGJU1M,Very easy to use!,None
A1KYGP10BH4FXU,its easy to use,Navigation
A2LV5QYHH24OMY,you should ship products internationally with DDP (Shipping/tax/local duties) included.,Delivery
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,mmmm    average,None
A2LV5QYHH24OMY,lower your prices i cant afford any of this :(,Price
A312KFQ78WB3A4,the prices,Price
A2QN0EGBRGJU1M,the checkout took ages to work.,Latency
A2LV5QYHH24OMY,lower your price are we buying a shirt or another limb sweet lord,Price
A312KFQ78WB3A4,lower your prices,Price
A2LV5QYHH24OMY,NOTHING,None
A2I3Y0L38HMQLZ,But really annoying you don't have photos of all the styles on the models,Images
A2LV5QYHH24OMY,Make all your clothes cheaper!,Price
A312KFQ78WB3A4,I like the ease of navigation,Navigation
A2I3Y0L38HMQLZ,I like the layout and style of the site,Navigation
A2QN0EGBRGJU1M,Give me a 50% on a pair of shoes I like and I'll give you great advice,None
A312KFQ78WB3A4,lower prices,Price
A2LV5QYHH24OMY,Well organised and layout is good for products,Navigation
A2BWMYV8JU7RO4,it is easy to follow and use&#44; and  reliable,Navigation
A2QN0EGBRGJU1M,The mobile site should definitely be improved.,MoreFunc
A2LV5QYHH24OMY,be cheaper,Price
A2LV5QYHH24OMY,evrything,None
A2LV5QYHH24OMY,slim fit striped shirts,Products
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,good!!,None
A2LV5QYHH24OMY,get better shoes,Products
A2LV5QYHH24OMY,I like the layout,Navigation
A2LV5QYHH24OMY,make everything 50% cheaper please.,Price
A312KFQ78WB3A4,a VIEW ALL selection,MoreFunc
A2LV5QYHH24OMY,now i have to type the long number every time which is very very inconvenient as I do not have the number always.,MoreFunc
A312KFQ78WB3A4,lower your prices i can't afford anything,Price
A2QN0EGBRGJU1M,lower postage fee's.,Delivery
A1KYGP10BH4FXU,images can be too small,Images
A2LV5QYHH24OMY,More suggestions on what to team items with!,MoreFunc
A2LV5QYHH24OMY,rrrttvcdv,None
A312KFQ78WB3A4,prices,Price
A1KYGP10BH4FXU,LOWER PRICES,Price
A2LV5QYHH24OMY,I love everything,None
A2I3Y0L38HMQLZ,lower your prices.,Price
A2LV5QYHH24OMY,I think the only thing that could be improve is the pricing of shipping it is a little expensive,Delivery
A2LV5QYHH24OMY,for shop?ng,None
A1KYGP10BH4FXU,the price,Price
A2BWMYV8JU7RO4,Maybe having an online applications process for local jobs.,MoreFunc
A3MXBLYX2CDGTP,I LOVE IT!,None
A2I3Y0L38HMQLZ,the site is very easy to use c:,Navigation
A312KFQ78WB3A4,I like that on your site all your items are easly accsessable and  you can improve on getting the pending approval faster,Navigation
A2LV5QYHH24OMY,cheaper xx,Price
A2I3Y0L38HMQLZ,Easy to use website,Navigation
A2LV5QYHH24OMY,I cant think of any improvements.,None
A2I3Y0L38HMQLZ,make stuff cost less,Price
A2I3Y0L38HMQLZ,i often want to shop over a few day when i have a spare 5 mins and it's a hassle having to go and add all again!,MoreFunc
A3E157ZN8XPUKJ,have a wish list so i can remember what i like and might want to buy and go back to them later:)x,MoreFunc
A1KYGP10BH4FXU,just perfect,None
A2LV5QYHH24OMY,why are there differences in the prices online and in store on the same item?,Price
A2LV5QYHH24OMY,Maybe lower prices?,Price
A312KFQ78WB3A4,lower prices,Price
A2LV5QYHH24OMY,great,None
A2I3Y0L38HMQLZ,no thanks,None
A1KYGP10BH4FXU,i think you can improve on the fact if you click 'add to bag' twice it adds it twice whereas you can already pick the quantity.,MoreFunc
A2LV5QYHH24OMY,bum eggs for everyone,None
A312KFQ78WB3A4,everything,None
A2BWMYV8JU7RO4,all its ok!!!,None
A2I3Y0L38HMQLZ,it would be great if you had a 'wish list' feature on your site,MoreFunc
A34M93NJC830DP,go away,None
A2I3Y0L38HMQLZ,it is easy to navigate around,Navigation
A2I3Y0L38HMQLZ,not very good,None
A2I3Y0L38HMQLZ,make cheaper clothes,Price
A2LV5QYHH24OMY,clear and easy to use,Navigation
A2I3Y0L38HMQLZ,cheaper,Price
A2LV5QYHH24OMY,I think its hard to scroll down the clothes.,Navigation
A2LV5QYHH24OMY,I like it how it lists all the products and they are easy to look through.,Navigation
A312KFQ78WB3A4,everything,None
A2I3Y0L38HMQLZ,It can be really annoying.,None
A2LV5QYHH24OMY,http://www.katygodfrey.info/,None
A2LV5QYHH24OMY,Love the look of the site and also how easy it is to find items.,Navigation
A2LV5QYHH24OMY,Make the clothes less expensive :),Price
A2I3Y0L38HMQLZ,please reduce International shipping cost.,Delivery
A2LV5QYHH24OMY,I like the stuff you sale frankly!,Products
