pv_id,global_user_id,time,declaration
53891b62-6640-11e1-ba01-2b4f0f319a20,1318529460616.716d6dc67281,1330896859278,love the wear with advice.
162,ts1320157334480,1320157334480,get more clothes in.
hc4udxmf4ihnc5a,1349113502172.159572,1358605138381,nothing everything is perfect
hek7o0vgkajxr0,1363887731468.682694,1363887992388,bigger models
haifqqoo861q6e,1316175482494.217493,1355073477567,stop asking my opinion
h48x8c1kekgekgekg,1341437142648.314334,1341437541456,Even Cheaper too much expenise
hfi6scxg0jzw3g5,1365361170558.918822,1365942376506,if you stopped this stupid pop up on EVERY page that'd be a start!!
h90fraqwwnsa67,1351808070733.824453,1351808324861,be nice
hablccqdlvtnmi,1354658798212.56879,1354659627035,Excellent!!!
gw52xmdsohmnt6qk9,1323790827172.86103,1323791123233,lower the price.
h4jqpbkf61503yc4g,1342090754825.6700705072e1,1342091776104,I like the zoom and 360 options and you can improve descriptions by always including the heel height.
haoc6ew79d9hd9,1355291758189.580112,1355430477396,_ pay with paypal
742,ts1320157334480,1320157334480,the petite section&#44; make it bigger
8b12165f-66f3-11e1-8264-73981b414151,1322766084794.148449,1330973246712,I think it is vry good and easy to navigate around thanks
hcj1o12e7wsiqf,1359461900306.217415,1359463890715,Like the layout and how easy it is to view products against a white background.
h9d2p4foxucvwc,1352572412314.870533,1352572449009,TOO EXPENSIVE!!!
hf6rjw1k078x93o9,1352594029109.608227,1365260887710,the videos of the models are extremely helpful to get a clearer idea how the clothes look like when wearing them.
he7j8bynjt3yn2ds,1363120838217.959416,1363121311925,unable to see pictures in the enlarge options (using IE)
hc4qk9pw7mucs6,1358598588826.362134,1358598807694,i think your site is very good just make sure that everything on the website is in store!!
hcosihdng45pl30,1359379247611.313499,1359811279157,get cheaper
hf9ixguecr7ojx8,1364749609669.79150,1365418809040,put the prices down abit
h48ih0lyb97h762,1340817969659.978344,1341413609767,I think you should be able to deliver to your local store.
hbpw7u66gy9d3i0,1357701151139.821940,1357701226109,get better looking models
1096,sf1320157334480,1320157334480,You have very nice photographs and descriptions of the items for sale.
h873q85h9ds4l2h4,1350034574013.426886,1350034582469,sehr ?bersichtlich...preisangaben in euro w?ren gut
h9u3q99cuhe8m89,1353526678491.327992,1353602311946,i like the service and the layout of the site.
hb7z2uxhaxv389,1356617559619.909922,1356617604155,amazing
91989567-1df3-11e1-833b-75e1028e8e5a,1322946731160.970263,1322946924050,Shoe categories are not very helpful.
hb6isok6voee7mq,1343499426781.821989,1356529894646,i like all of the tabs at the top and how you can select clothing in your size and the color you want etc.
192,ts1320157334480,1320157334480,i like that its easy to find your way around the site.
hb6v4mwrrd6757c,1351182135508.760773,1356550518351,The interest to detail.
ha251igutpln3o8,1354087897122.999369,1354088165009,smaller sizes and kids section
haiktj2lecxd50a,1355081441448.462549,1355081994067,GO AWAY
hagvuaqynzghba,1354977243126.945468,1354979626920,impossible to register i have tried about five times and it keeps telling me to check address
