"0","i wa nt sure what size jumper i need  ie ","Range|Size"
"1","i cant see right hand dress as no facil to scroll right veri annoy","Latency|Navigation"
"2","man jinx","None"
"3","an app to show whether an item will be restock after be sold out and possibl when would be fab ","Navigation|Stock"
"4","  okay","None"
"5","i like thi site veri much ","None"
"6","font like the move real peopl at the top of the page it annoy","MoreFunc"
"7","when i select a certain size of shoe or clothing item appear that are not in stock in that size ","Stock"
"8","your price are higher cloth store global","Price"
"9","keep item in the shop basket for next visit","MoreFunc"
"10","do better custom servic     ","MoreFunc"
"11","it ok","None"
"12","do nt feel the model you ve chosen do the cloth justic","Images|Products"
"13","return to store  the fact thi option is nt avail put me off buy onlin ","Navigation"
"14","cheaper price","Price"
"15","everyth until now is ok ","None"
"16","i like look at the new style and color great way to buy x","Images"
"17","price","Price"
"18","hi ye for some reason the review do nt appear   ","Latency"
"19","open hour","MoreFunc"
"20","i love everyth about the site ","None"
"21","cloth rant as nice as they use to be","Products"
"22","checkout hang and unsur whether payment gone through or not  b","Navigation"
"23","site is brilliant no need to improv","None"
"24","make thing cheaper i ca nt afford anyth","Price"
"25","make it look more color and live instead of dull","Navigation"
"26","lkjlkj","None"
"27","mail to the usa pleas","Delivery"
"28","perfect","None"
"29","a littl slow","Latency"
"30","lower your price","Price"
"31","post video of each cloth","MoreFunc"
"32","i would like to benefit from a perman outlet section ","MoreFunc"
"33","ye ","None"
"34","make it where you can email the pictur of the dress to a friend ","MoreFunc"
"35","it s veri easi to find what we re look for ","Navigation"
"36","more pictur of the cloth  mani difficult to see properli on model","Images"
"37","goodnight ","None"
"38","replac popular item when they have sold out ","Stock"
"39","how to ship thing to the unit state","Delivery"
"40","feel good ","None"
"41","i like that on your site all your item are easi access and you can improv on get the pend approv faster","Navigation"
"42","just start look at it","None"
"43","where is the unit state in the countri list       ","Delivery"
"44","model to display all item  otherwis difficult to tell what the fit","MoreFunc"
"45","i love everyth ","None"
"46","view 2 or more design at one time","MoreFunc"
"47","it amaz","None"
"48","i like the shoe and the hat","Products"
"49","you can improv the price  ","Price"
"50","i find thi websit easi to navig ","Navigation"
"51","much cheaper intern ship fee and on sale or last piec alert ","Delivery|Price"
"52","just love ur site   ","None"
"53","more size 3 pleas ","Size"
"54","get more fashion thing in the store ","Range"
"55","to be abl to choos by  of sale  from the high to low or vice aver ","MoreFunc"
"56","i like it","None"
"57","set an amount that qualifi shopper for free ship ","Delivery"
"58","have the stuff cheaper    ","Price"
"59","no store in san francisco  ","None"
"60","show bikini top and bottom that match on the same page at least ","Images"
"61","piti more size are nt avail on all item","Size"
"62","it simpl and easi to use","Navigation"
"63","i realli realli want it ","None"
"64","more choic on the canadian site which is bore compar to the euro one","Range"
"65","more student discount  ","Price"
"66","there is no size descript of bag ","Size"
"67","cheaper product","Price"
"68","cheapen the clothes","Price"
"69","mason point f no is wrong","None"
"70","there doe nt seem to be enough inform about the fit of the jean ","Size"
"71","the size of shoe in uk size","Size"
"72","it is too slow and freez my comput a lot ","Latency"
"73","thank you ","None"
"74","progress bar when ad item to cart are not visibl enough  too slow ","Latency"
"75","it would be nice if the cloth could be model by human","Images"
"76","i think the site is veri usabl and easi to navig ","Navigation"
"77","more photo","Images"
"78","when they came to deliveri the item just show up in the receipt as no stock ","Delivery|Stock"
"79","love the layout the photo on the site ","Images|Navigation"
"80","good site easi to move round","Navigation"
"81","where is the outfit maker ","Navigation"
"82","i think that it could be a good idea if there wa a place where you could","MoreFunc"
"83","it is veri hard to see what whitecream color cloth look like when it is against the white background ","Images"
"84","veri slow to load imag ","Latency"
"85","better stock","Stock"
"86","everyth els is a ok ","None"
"87","it would be nice if you could arrang deliveri to the store free like other onlin shop ","Delivery"
"88","not impress","None"
"89","too expens  ","Price"
"90","leav you annoy ","None"
"91","make product cheaper ","Price"
"92","postag price and some item of cloth are over price","Delivery|Price"
"93","i think the site is clear and easi to find what you need","Navigation"
"94","let the student discount work i am veri annoy","Latency"
"95","veri slow when check out  pleas stock more size 6 s","Size"
"96","i think that you soul make your item cheaper","Price"
"97","i ca nt see ani photo ","Latency|Images"
"98","i like the qualiti","Products"
