pv_id,global_user_id,time,declaration
hbizucmukgyk42,1357283875211.261188,1357284040173,The low prices on your shoe sales.
hbe5f8tfdg4d4f,1356654081454.537836,1356991219612,Your prices.
h27jdic1akcni8w,1337000059465.589684,1337000196538,through shopstyle.com
h3lthe5o4szrcf,1340039414555.957383,1340040485544,Thought it was very nice to use.
0478839b-6400-11e1-97a8-e513ddb5f16d,1317204556768.46494118f979,1330648664078,i don't speak english
hdqog0g63a58zdw,1362086677948.598454,1362102235074,i want one!!!!
h4rsentxdrbaj40,1336261389327.589041,1342578339563,I wish items available on UK site were also available inthe  U.S.
heogm95vgu5ohcr,1364144843236.919487,1364144770661,Prices
h3izs0v2ekgekgekg,1339869544862.25bcb5208ebe,1339869906437,Make a reviews link right at the top!
hfohkv9qd85m4zh,1366323219430.669200,1366323256367,i like the clothes
h9xmstpfe0u28klw,1353815384143.194226,1353815571192,i love this website like im obsessed with it
h2tc1fh33l5fnx,1338282784087.952883,1338318173344,shoes not enough on  thank you
hai407sg961umj,1355053635550.375956,1355053804695,like the layout
h9k6csvn7df1bnt,1353001712932.402964,1353001990734,stock shortages.
hf8t1jdewudtz33d,1363932364698.391182,1365343088029,Thank You.
h7xr41eheq2wdgv,1349469100322.746956,1349469462665,love the roll over/expand function; would like to see more items on the page though
hdydj0odcsbf78ce,1362567122673.573095,1362567598928,Lower International deliveries
393,ts1320157334480,1320157334480,it would be an awesome shop if you get free shipping and lower the price!!
h4gwfoncz81r4g9,1341299199484.606895,1341919890183,Nothing best shop ever!!!
f753e2fd-5265-11e1-974c-8997083cf582,1328713347072.898830,1328713453814,THE PRICE!!!!
h9wyinpndz6mzu8,1353087446898.594469,1353774915208,most helpfull
h2dijou7ekgekgekg,1337360563501.475606,1337366092954,Hello.
h6r3k0f01addvc6,1346889423488.602e2a299d38,1346890110757,dont do this to me while i am searching or maybe I will not come back
he4648srfwbjf8u,1362917877564.36471,1362917820644,cheaper
h81qf5cbvqpc0g,1349709827984.26605,1349710033313,search price high to low
ha9zlnbwgziw7fh,1354562596551.11884,1354563373681,love everything about it!!!
381,ts1320157334480,1320157334480,Improve on international shipping prices
hbzcjo4cwd9tie,1358272749536.664212,1358272876929,make it a bit easier to navigate around the sitee xxx
63d0eab6-6894-11e1-930a-f1207a734d0c,1331152163510.b32d62e88fc1,1331152307802,its nice and simple
hcfrlhy0tja8zr,1358649505640.202746,1359265624292,it takes a while to load a new page
1164,sf1320157334480,1320157334480,not price
hc9k52sz6k40s3ur,1358889642469.886127,1358890216188,Lowering prices
dc3c077b-6c84-11e1-8f8b-110aea8fe665,1316012317607.85554,1331658048756,Have a 'save till later' function like asos
h8hniv2m9citcxm,1350672325329.493053,1350672549884,show all of the shoes!!
he9tpuyv05b722f,1363259853313.513357,1363259845658,Inturreptyoin TOO soon!
